iteration,model,hp,dim_method,do_scale,n_pca,other_cols,dataset_size,confusion_matrix,accuracy,precision,recall,f1,kappa,kappa_std,score,kappa_nonzero
35,ET,"{'n_estimators': 200, 'max_depth': 10, 'min_samples_split': 10, 'max_features': 'log2'}",freq,True,N/A,[],616,"[[0, 0], [16, 280]]",0.945578231292517,0.8333333333333334,0.8061224489795918,0.8185185185185185,,,,0
36,ET,"{'n_estimators': 100, 'max_depth': 5, 'min_samples_split': 10, 'max_features': 'sqrt'}",freq,False,N/A,[],616,"[[0, 0], [5, 291]]",0.9829931972789115,0.8333333333333334,0.8248299319727891,0.8289703315881326,,,,0
37,ET,"{'n_estimators': 200, 'max_depth': 30, 'min_samples_split': 5, 'max_features': 0.5}",freq,True,N/A,[],616,"[[0, 0], [16, 280]]",0.945578231292517,0.8333333333333334,0.8061224489795918,0.8185185185185185,,,,0
38,NN,"{'hidden_layer_sizes': (256, 256), 'activation': 'tanh', 'alpha': 0.0001, 'learning_rate_init': 0.001, 'max_iter': 1000, 'early_stopping': False}",freq,False,N/A,[],616,"[[0, 0], [12, 284]]",0.9591836734693877,0.8333333333333334,0.8129251700680271,0.822463768115942,,,,0
41,NN,"{'hidden_layer_sizes': (256, 256), 'activation': 'tanh', 'alpha': 0.0001, 'learning_rate_init': 0.0001, 'max_iter': 1000, 'early_stopping': False}",freq,True,N/A,[],616,"[[0, 0], [14, 282]]",0.9523809523809524,0.8333333333333334,0.8095238095238096,0.8205128205128206,,,,0
42,RF,"{'n_estimators': 200, 'max_depth': 30, 'min_samples_split': 10, 'max_features': 'log2'}",pca,False,10,[],616,"[[0, 0], [31, 265]]",0.8952710116304585,0.6666666666666666,0.6143021724818959,0.6358714209062972,,,,0
44,ET,"{'n_estimators': 100, 'max_depth': 5, 'min_samples_split': 5, 'max_features': 'sqrt'}",pca,False,20,[],616,"[[0, 0], [18, 278]]",0.9387755102040817,0.8333333333333334,0.8027210884353742,0.8164794007490638,,,,0
52,NN,"{'hidden_layer_sizes': (64,), 'activation': 'relu', 'alpha': 0.001, 'learning_rate_init': 0.0001, 'max_iter': 1000, 'early_stopping': False}",,True,N/A,['relationExtrusionWeight'],518,[[249]],1.0,1.0,1.0,1.0,,,,0
53,SVM,"{'C': 10, 'kernel': 'linear', 'gamma': 'auto'}",freq,False,N/A,[],616,"[[0, 0], [16, 280]]",0.945578231292517,0.8333333333333334,0.8061224489795918,0.8185185185185185,,,,0
55,ET,"{'n_estimators': 200, 'max_depth': None, 'min_samples_split': 2, 'max_features': 0.5}",freq,False,N/A,[],616,"[[0, 0], [17, 279]]",0.9428900592495063,0.6666666666666666,0.6381116962914198,0.6511770880191933,,,,0
